Samsung,Galaxy S9,SM-G960?,android,phone,2018,no,,,,none,,,official,high,
Samsung,Galaxy S9+,SM-G965?,android,phone,2018,no,,,,none,,,official,high,
Samsung,Galaxy S10,SM-G973?,android,phone,2019,conditional,"region:CN=no; region:US/CA (Verizon/Sprint)=no",physical+esim,,Android 9.0,,parallel,high,
Samsung,Galaxy S10+,SM-G975?,android,phone,2019,conditional,"region:CN=no; region:US/CA (Verizon/Sprint)=no",physical+esim,,Android 9.0,,parallel,high,
Samsung,Galaxy S10e,SM-G970?,android,phone,2019,conditional,"region:CN=no; region:US/CA (Verizon/Sprint)=no",physical+esim,,Android 9.0,,parallel,high,
Samsung,Galaxy S20,SM-G980?,android,phone,2020,yes,,physical+esim,,Android 10.0,,official,high,
Samsung,Galaxy S20+,SM-G985?,android,phone,2020,yes,,physical+esim,,Android 10.0,,official,high,
Samsung,Galaxy S20 Ultra,SM-G988?,android,phone,2020,yes,,physical+esim,,Android 10.0,,official,high,
Samsung,Galaxy S20 FE,SM-G780?,android,phone,2020,conditional,"region:CN=no; carrier-locked US variants=no",physical+esim,,Android 10.0,,official,medium,
Samsung,Galaxy S21,SM-G991?,android,phone,2021,yes,,physical+esim,,Android 11.0,,official,high,
Samsung,Galaxy S21+,SM-G996?,android,phone,2021,yes,,physical+esim,,Android 11.0,,official,high,
Samsung,Galaxy S21 Ultra,SM-G998?,android,phone,2021,yes,,physical+esim,,Android 11.0,,official,high,
Samsung,Galaxy S21 FE,SM-G990?,android,phone,2022,yes,,physical+esim,,Android 12.0,,official,high,
Samsung,Galaxy S22,SM-S901?,android,phone,2022,yes,,physical+esim,,Android 12.0,,official,high,
Samsung,Galaxy S22+,SM-S906?,android,phone,2022,yes,,physical+esim,,Android 12.0,,official,high,
Samsung,Galaxy S22 Ultra,SM-S908?,android,phone,2022,yes,,physical+esim,,Android 12.0,,official,high,
Samsung,Galaxy S23,SM-S911?,android,phone,2023,yes,,dual-esim,,Android 13.0,,official,high,
Samsung,Galaxy S23+,SM-S916?,android,phone,2023,yes,,dual-esim,,Android 13.0,,official,high,
Samsung,Galaxy S23 Ultra,SM-S918?,android,phone,2023,yes,,dual-esim,,Android 13.0,,official,high,
Samsung,Galaxy S24,SM-S921?,android,phone,2024,yes,,dual-esim,,Android 14.0,,official,high,
Samsung,Galaxy S24+,SM-S926?,android,phone,2024,yes,,dual-esim,,Android 14.0,,official,high,
Samsung,Galaxy S24 Ultra,SM-S928?,android,phone,2024,yes,,dual-esim,,Android 14.0,,official,high,
Samsung,Galaxy S25,SM-S931?,android,phone,2025,yes,,dual-esim,,Android 15.0,,official,high,
Samsung,Galaxy S25+,SM-S936?,android,phone,2025,yes,,dual-esim,,Android 15.0,,official,high,
Samsung,Galaxy S25 Ultra,SM-S938?,android,phone,2025,yes,,dual-esim,,Android 15.0,,official,high
