brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
OPPO,Find X3 Pro,,android,phone,2021,yes,,,,physical+esim,,4.0,11.0,official,,high,
OPPO,Find N,,android,phone,2021,no,,,,none,,11.0,13.0,parallel,,high,
OPPO,Find N2 Flip,,android,phone,2023,conditional,"region:CN=no;region:EU/US=yes",physical+esim,,4.0,13.0,parallel,,high,
OPPO,Find X5 Pro,,android,phone,2022,yes,,,,physical+esim,,4.0,13.0,official,,high,
OPPO,Find X6 Pro,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Reno 10 Pro+ 5G,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Reno 11 Pro 5G,,android,phone,2024,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,A74 5G,,android,phone,2021,no,,,,none,,11.0,12.0,official,,high,
OPPO,A96,,android,phone,2022,no,,,,none,,11.0,13.0,official,,high,
OnePlus,8,,android,phone,2020,no,,,,none,,10.0,11.0,official,,high,
OnePlus,8T,,android,phone,2020,no,,,,none,,11.0,11.0,official,,high,
OnePlus,9,,android,phone,2021,yes,,,,physical+esim,,4.0,13.0,official,,high,
OnePlus,9 Pro,,android,phone,2021,yes,,,,physical+esim,,4.0,13.0,official,,high,
OnePlus,Nord,,android,phone,2020,no,,,,none,,10.0,11.0,official,,high,
OnePlus,Nord CE,,android,phone,2021,no,,,,none,,11.0,12.0,official,,high,
OnePlus,Nord CE 2 5G,,android,phone,2022,no,,,,none,,11.0,13.0,official,,high,
OnePlus,Nord CE 3 Lite 5G,,android,phone,2023,no,,,,none,,12.0,14.0,official,,high,
OnePlus,Nord CE 4,,android,phone,2024,no,,,,none,,13.0,14.0,official,,high,
OnePlus,Nord 2,,android,phone,2021,no,,,,none,,11.0,13.0,official,,high,
OnePlus,Nord 2T,,android,phone,2022,no,,,,none,,12.0,13.0,official,,high,
OnePlus,Nord 3,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OnePlus,10 Pro,,android,phone,2022,yes,,,,physical+esim,,4.0,14.0,official,,high,
OnePlus,10T,,android,phone,2022,yes,,,,physical+esim,,4.0,14.0,official,,high,
OnePlus,11,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OnePlus,11R,,android,phone,2023,no,,,,none,,4.0,14.0,official,,high,
OnePlus,12,,android,phone,2024,yes,,,,physical+esim,,4.0,15.0,official,,high,
OnePlus,12R,,android,phone,2024,no,,,,none,,4.0,15.0,official,,high,
OnePlus,Open,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Find N3,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Find N3 Flip,,android,phone,2023,conditional,"region:CN=no;region:EU/US=yes",physical+esim,,4.0,14.0,official,,high,
OPPO,Find X7,,android,phone,2024,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Find X7 Ultra,,android,phone,2024,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Reno 6,,android,phone,2021,no,,,,none,,11.0,12.0,official,,high,
OPPO,Reno 7 Pro 5G,,android,phone,2022,no,,,,none,,12.0,13.0,official,,high,
OPPO,Reno 8 Pro 5G,,android,phone,2022,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Reno 9 Pro+,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,Reno 10 5G,,android,phone,2023,yes,,,,physical+esim,,4.0,14.0,official,,high,
OPPO,A57s,,android,phone,2022,no,,,,none,,12.0,13.0,official,,high,
OPPO,A77s,,android,phone,2022,no,,,,none,,12.0,13.0,official,,high,
OPPO,A98 5G,,android,phone,2023,no,,,,none,,13.0,14.0,official,,high
