brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Honor,Magic V3,FCP-AN10,android,phone,2024,conditional,"region:CN=no;region:EU=yes",physical+esim,,14,,parallel,high,
Honor,Magic Vs2,TAS-AN00,android,phone,2023,no,,none,,13,,parallel,high,
Honor,Magic Vs,FRI-AN00,android,phone,2022,no,,none,,12,,official,high,
Honor,Magic V2,VER-AN00,android,phone,2023,no,,none,,13,,parallel,high,
Honor,Magic V,MOC-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,Magic6 Pro,BVL-AN16,android,phone,2024,conditional,"region:CN=no;region:EU=yes",physical+esim,,14,,parallel,high,
Honor,Magic6,BVL-AN00,android,phone,2024,no,,none,,14,,parallel,high,
Honor,Magic6 Lite,ALI-NX1,android,phone,2024,no,,none,,13,,official,high,
Honor,Magic6 RSR Porsche Design,BVL-AN20,android,phone,2024,no,,none,,14,,parallel,high,
Honor,Magic5 Pro,PGT-N19,android,phone,2023,conditional,"region:CN=no;region:EU=yes",physical+esim,,13,,official,high,
Honor,Magic5,PGT-AN00,android,phone,2023,no,,none,,13,,official,high,
Honor,Magic5 Lite,RMO-NX1,android,phone,2023,no,,none,,12,,official,high,
Honor,Magic5 Ultimate,PGT-AN20,android,phone,2023,no,,none,,13,,parallel,high,
Honor,Magic4 Pro,LGE-NX9,android,phone,2022,conditional,"region:CN=no;region:EU=yes",physical+esim,,12,,official,high,
Honor,Magic4,LGE-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,Magic4 Lite,ANY-L21I,android,phone,2022,no,,none,,11,,official,high,
Honor,Magic4 Ultimate,LGE-AN20,android,phone,2022,no,,none,,12,,parallel,high,
Honor,Magic3 Pro+,ELZ-AN20,android,phone,2021,no,,none,,11,,parallel,high,
Honor,Magic3 Pro,ELZ-AN10,android,phone,2021,no,,none,,11,,parallel,high,
Honor,Magic3,ELZ-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,200 Pro,ELI-NX9,android,phone,2024,conditional,"region:CN=no;region:EU=yes",physical+esim,,14,,official,high,
Honor,200,ELP-NX9,android,phone,2024,conditional,"region:CN=no;region:EU=yes",physical+esim,,14,,official,high,
Honor,200 Lite,LLY-NX1,android,phone,2024,no,,none,,14,,official,high,
Honor,100 Pro,MAA-AN10,android,phone,2023,no,,none,,13,,parallel,high,
Honor,100,MAA-AN00,android,phone,2023,no,,none,,13,,parallel,high,
Honor,90 Pro,REP-AN00,android,phone,2023,no,,none,,13,,parallel,high,
Honor,90,REA-NX9,android,phone,2023,conditional,"region:CN=no;region:EU=yes",physical+esim,,13,,official,high,
Honor,90 Lite,CRT-NX1,android,phone,2023,no,,none,,13,,official,high,
Honor,80 Pro,ANB-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,80,ANN-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,80 GT,AGT-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,80 SE,GDI-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,70 Pro+,HPB-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,70 Pro,SDY-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,70,FNE-NX9,android,phone,2022,no,,none,,12,,official,high,
Honor,70 Lite,RBN-NX1,android,phone,2023,no,,none,,12,,official,high,
Honor,60 Pro,TNA-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,60,LSA-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,60 SE,GIC-AN00,android,phone,2022,no,,none,,11,,parallel,high,
Honor,50 Pro,RNA-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,50,NTH-NX9,android,phone,2021,no,,none,,11,,official,high,
Honor,50 Lite,NTN-LX1,android,phone,2021,no,,none,,11,,official,high,
Honor,50 SE,JLH-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,X9b,ALI-NX1,android,phone,2023,no,,none,,13,,official,high,
Honor,X9a,RMO-NX1,android,phone,2023,no,,none,,12,,official,high,
Honor,X8b,LLY-NX1,android,phone,2023,no,,none,,13,,official,high,
Honor,X8a,CRT-NX1,android,phone,2023,no,,none,,12,,official,high,
Honor,X7b,CLK-NX1,android,phone,2023,no,,none,,13,,official,high,
Honor,X7a,RKY-LX1,android,phone,2023,no,,none,,12,,official,high,
Honor,X6a,WDY-LX1,android,phone,2023,no,,none,,13,,official,high,
Honor,X5 Plus,WBN-LX1,android,phone,2023,no,,none,,13,,official,high,
Honor,X50,ALI-AN00,android,phone,2023,no,,none,,13,,parallel,high,
Honor,X40,RMO-AN00,android,phone,2022,no,,none,,12,,parallel,high,
Honor,X30,ANY-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,X20,GKY-AN00,android,phone,2021,no,,none,,11,,parallel,high,
Honor,X10,TEL-AN00,android,phone,2020,no,,none,,10,,parallel,high,
