brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,"Galaxy Fold","SM-F900",android,phone,2019,unknown,,,,,,,low,
Samsung,"Galaxy Z Fold2","SM-F916",android,phone,2020,unknown,,,,,,,low,
Samsung,"Galaxy Z Fold3","SM-F926",android,phone,2021,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Fold4","SM-F936",android,phone,2022,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Fold5","SM-F946",android,phone,2023,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Fold6","SM-F956",android,phone,2024,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Fold7",,android,phone,2026,unknown,,,,,,,low,
Samsung,"Galaxy Z Flip","SM-F700",android,phone,2020,unknown,,,,,,,low,
Samsung,"Galaxy Z Flip 5G","SM-F707",android,phone,2020,unknown,,,,,,,low,
Samsung,"Galaxy Z Flip3","SM-F711",android,phone,2021,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Flip4","SM-F721",android,phone,2022,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Flip5","SM-F731",android,phone,2023,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Flip6","SM-F741",android,phone,2024,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Z Flip7",,android,phone,2026,unknown,,,,,,,low,
Samsung,"Galaxy Z Flip7 FE",,android,phone,,unknown,,,,,,,low,
Samsung,"Galaxy Note 9","SM-N960",android,phone,2018,unknown,,,,,,,low,
Samsung,"Galaxy Note 10","SM-N970",android,phone,2019,unknown,,,,,,,low,
Samsung,"Galaxy Note 10+","SM-N975",android,phone,2019,unknown,,,,,,,low,
Samsung,"Galaxy Note 20","SM-N980",android,phone,2020,conditional,"region:CN=no",physical+esim,,,,,high,
Samsung,"Galaxy Note 20 Ultra","SM-N986",android,phone,2020,conditional,"region:CN=no",physical+esim,,,,,high,
